period_id,frame_idx,game_clock,wall_clock,live,last_touch_team_id,team_id,player_id,player_number,speed,x,y,z,ball_x,ball_y,ball_z,ball_speed
1,3,0.12,1649524084134,True,6900,6900,85601,6,0.18,20.03,-3.88,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,194730,8,0.59,14.38,-0.68,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,430360,9,0.63,-0.27,0.24,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,443002,4,0.83,18.09,-17.09,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,474038,17,1.91,1.28,-23.26,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,45215,7,0.87,0.29,15.82,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,174577,1,0.25,49.39,0.25,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,489381,5,0.42,10.92,6.41,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,421184,15,0.43,21.29,11.67,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,78103,10,0.83,5.82,-8.24,0.0,1.45,-0.07,0.19,12.99
1,4,0.16,1649524084174,True,6900,1207,41700,3,0.89,-3.63,21.61,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,451375,40,1.88,-5.31,11.43,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,229903,99,0.69,-1.11,-17.09,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,442451,20,1.2,-17.01,-5.43,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,464785,31,0.81,-12.0,-1.14,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,244766,22,0.7,-16.77,3.35,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,471798,1,0.46,-49.27,0.0,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,107091,11,2.17,0.13,9.14,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,169707,30,0.58,-6.6,-6.31,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,119644,2,0.74,-16.21,-19.25,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,1207,427869,14,1.13,-15.67,15.53,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,246099,2,0.49,14.0,22.91,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,85601,6,0.21,20.04,-3.89,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,194730,8,0.71,14.4,-0.67,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,430360,9,0.7,-0.3,0.23,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,474038,17,2.04,1.21,-23.3,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,443002,4,0.81,18.12,-17.1,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,45215,7,0.88,0.29,15.86,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,174577,1,0.25,49.39,0.25,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,489381,5,0.49,10.91,6.42,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,421184,15,0.44,21.27,11.68,0.0,2.09,-0.07,0.22,12.95
1,4,0.16,1649524084174,True,6900,6900,78103,10,0.99,5.79,-8.26,0.0,2.09,-0.07,0.22,12.95
